[2023-05-28 10:53:35,781][core][INFO] - Step: 150, Upper Loss: 0.044612035155296326, Lower Loss: 0.00295667233876884                            Upper Q: 2.578019142150879, Lower Q: 0.18598176538944244
[2023-05-28 10:53:36,089][core][INFO] - Step: 200, Upper Loss: 0.07552744448184967, Lower Loss: 0.0017389709828421474                            Upper Q: 4.112242698669434, Lower Q: 0.20500263571739197
[2023-05-28 10:53:36,380][core][INFO] - Step: 250, Upper Loss: 0.3354870676994324, Lower Loss: 0.0014154427917674184                            Upper Q: 5.716765880584717, Lower Q: 0.1895681917667389
[2023-05-28 10:53:36,731][core][INFO] - Step: 300, Upper Loss: 0.6590845584869385, Lower Loss: 0.004127162974327803                            Upper Q: 6.824635028839111, Lower Q: 0.20231029391288757
[2023-05-28 10:53:37,066][core][INFO] - Step: 350, Upper Loss: 1.0059226751327515, Lower Loss: 0.0034253927879035473                            Upper Q: 8.147092819213867, Lower Q: 0.19193482398986816
[2023-05-28 10:53:37,387][core][INFO] - Step: 400, Upper Loss: 1.3383830785751343, Lower Loss: 0.0015121669275686145                            Upper Q: 9.035274505615234, Lower Q: 0.18835580348968506
[2023-05-28 10:53:37,693][core][INFO] - Step: 450, Upper Loss: 2.587775230407715, Lower Loss: 0.00327868340536952                            Upper Q: 10.139572143554688, Lower Q: 0.18785715103149414
[2023-05-28 10:53:37,993][core][INFO] - Step: 500, Upper Loss: 1.6796640157699585, Lower Loss: 0.0014692607801407576                            Upper Q: 11.389533996582031, Lower Q: 0.16993647813796997
[2023-05-28 10:53:38,352][core][INFO] - Step: 550, Upper Loss: 2.0994174480438232, Lower Loss: 0.00106025580316782                            Upper Q: 12.109910011291504, Lower Q: 0.1802724301815033
[2023-05-28 10:53:38,691][core][INFO] - Step: 600, Upper Loss: 0.9505080580711365, Lower Loss: 0.0014995476230978966                            Upper Q: 13.015144348144531, Lower Q: 0.161116361618042
[2023-05-28 10:53:39,025][core][INFO] - Step: 650, Upper Loss: 2.1711111068725586, Lower Loss: 0.0011182629968971014                            Upper Q: 14.140118598937988, Lower Q: 0.14336952567100525
[2023-05-28 10:53:39,369][core][INFO] - Step: 700, Upper Loss: 3.3765950202941895, Lower Loss: 0.0005922267446294427                            Upper Q: 14.368127822875977, Lower Q: 0.135969877243042
[2023-05-28 10:53:39,712][core][INFO] - Step: 750, Upper Loss: 5.187122344970703, Lower Loss: 0.0006644449895247817                            Upper Q: 15.067864418029785, Lower Q: 0.12806673347949982
[2023-05-28 10:53:40,036][core][INFO] - Step: 800, Upper Loss: 4.76603364944458, Lower Loss: 0.0011438124347478151                            Upper Q: 15.453984260559082, Lower Q: 0.12127599120140076
[2023-05-28 10:53:40,350][core][INFO] - Step: 850, Upper Loss: 4.54157829284668, Lower Loss: 0.002838805317878723                            Upper Q: 15.418240547180176, Lower Q: 0.10214532166719437
[2023-05-28 10:53:40,661][core][INFO] - Step: 900, Upper Loss: 3.9613828659057617, Lower Loss: 0.0005203557666391134                            Upper Q: 16.35732078552246, Lower Q: 0.09558387845754623
[2023-05-28 10:53:40,961][core][INFO] - Step: 950, Upper Loss: 8.774225234985352, Lower Loss: 0.000618445104919374                            Upper Q: 16.12700653076172, Lower Q: 0.09572586417198181
[2023-05-28 10:53:41,271][core][INFO] - Step: 1000, Upper Loss: 5.8985090255737305, Lower Loss: 0.0004594064666889608                            Upper Q: 16.46746253967285, Lower Q: 0.09463177621364594
[2023-05-28 10:53:41,574][core][INFO] - Step: 1050, Upper Loss: 8.412799835205078, Lower Loss: 0.0007291178335435688                            Upper Q: 17.10959243774414, Lower Q: 0.09358759224414825
[2023-05-28 10:53:41,908][core][INFO] - Step: 1100, Upper Loss: 3.9095726013183594, Lower Loss: 0.0009766771690919995                            Upper Q: 17.60948944091797, Lower Q: 0.08734192699193954
