[2023-05-30 23:12:02,979][core][INFO] - Step: 200, Upper Loss: 0.003252964233979583, Lower Loss: 0.0006275319610722363, Upper Q: 0.5709877610206604, Lower Q: 0.11958757042884827
[2023-05-30 23:12:04,030][core][INFO] - Step: 300, Upper Loss: 0.009140240028500557, Lower Loss: 0.005848119966685772, Upper Q: 0.6055526733398438, Lower Q: 0.2733510434627533
[2023-05-30 23:12:05,185][core][INFO] - Step: 400, Upper Loss: 0.007000323385000229, Lower Loss: 0.00632008071988821, Upper Q: 0.5619301795959473, Lower Q: 0.44866618514060974
[2023-05-30 23:12:06,504][core][INFO] - Step: 500, Upper Loss: 0.004987425170838833, Lower Loss: 0.0047635664232075214, Upper Q: 0.5221654176712036, Lower Q: 0.6333207488059998
[2023-05-30 23:12:07,643][core][INFO] - Step: 600, Upper Loss: 0.0034402268938720226, Lower Loss: 0.004279597662389278, Upper Q: 0.4707726836204529, Lower Q: 0.7964913845062256
[2023-05-30 23:12:08,889][core][INFO] - Step: 700, Upper Loss: 0.006969423033297062, Lower Loss: 0.0032185600139200687, Upper Q: 0.4490247964859009, Lower Q: 0.9749377965927124
[2023-05-30 23:12:09,961][core][INFO] - Step: 800, Upper Loss: 0.0037247096188366413, Lower Loss: 0.0022588935680687428, Upper Q: 0.3868582844734192, Lower Q: 1.1532025337219238
[2023-05-30 23:12:11,092][core][INFO] - Step: 900, Upper Loss: 0.00310172769241035, Lower Loss: 0.0010367539944127202, Upper Q: 0.3384486138820648, Lower Q: 1.22036874294281
[2023-05-30 23:12:12,310][core][INFO] - Step: 1000, Upper Loss: 0.0037271103356033564, Lower Loss: 0.000798806780949235, Upper Q: 0.3154628276824951, Lower Q: 1.357172966003418
[2023-05-30 23:12:13,442][core][INFO] - Step: 1100, Upper Loss: 0.002199664944782853, Lower Loss: 0.0012957847211509943, Upper Q: 0.26266801357269287, Lower Q: 1.3909928798675537
[2023-05-30 23:12:14,663][core][INFO] - Step: 1200, Upper Loss: 0.0030730953440070152, Lower Loss: 0.0027465778402984142, Upper Q: 0.27874457836151123, Lower Q: 1.4926726818084717
[2023-05-30 23:12:15,817][core][INFO] - Step: 1300, Upper Loss: 0.002883791457861662, Lower Loss: 0.004325610585510731, Upper Q: 0.22343826293945312, Lower Q: 1.6396864652633667
[2023-05-30 23:12:16,938][core][INFO] - Step: 1400, Upper Loss: 0.002384847030043602, Lower Loss: 0.010571353137493134, Upper Q: 0.2487112283706665, Lower Q: 1.8155341148376465
[2023-05-30 23:12:18,191][core][INFO] - Step: 1500, Upper Loss: 0.002410702873021364, Lower Loss: 0.006492035463452339, Upper Q: 0.2036883533000946, Lower Q: 2.091440439224243
[2023-05-30 23:12:19,317][core][INFO] - Step: 1600, Upper Loss: 0.0021748554427176714, Lower Loss: 0.007853236049413681, Upper Q: 0.2039528489112854, Lower Q: 2.4589223861694336
[2023-05-30 23:12:20,561][core][INFO] - Step: 1700, Upper Loss: 0.0019822968170046806, Lower Loss: 0.006770838983356953, Upper Q: 0.1890430450439453, Lower Q: 2.780221939086914
[2023-05-30 23:12:21,762][core][INFO] - Step: 1800, Upper Loss: 0.0026422247756272554, Lower Loss: 0.0075530256144702435, Upper Q: 0.19227783381938934, Lower Q: 3.200679302215576
[2023-05-30 23:12:22,901][core][INFO] - Step: 1900, Upper Loss: 0.0015896270051598549, Lower Loss: 0.013722006231546402, Upper Q: 0.15132224559783936, Lower Q: 3.645982265472412
[2023-05-30 23:12:24,214][core][INFO] - Step: 2000, Upper Loss: 0.0013410996180027723, Lower Loss: 0.006065583787858486, Upper Q: 0.15982384979724884, Lower Q: 4.003636837005615
[2023-05-30 23:12:25,359][core][INFO] - Step: 2100, Upper Loss: 0.002102282363921404, Lower Loss: 0.0076378630474209785, Upper Q: 0.15936410427093506, Lower Q: 4.461745738983154
[2023-05-30 23:12:26,634][core][INFO] - Step: 2200, Upper Loss: 0.0023803478106856346, Lower Loss: 0.005085126496851444, Upper Q: 0.11750811338424683, Lower Q: 4.627020359039307
[2023-05-30 23:12:27,822][core][INFO] - Step: 2300, Upper Loss: 0.0017739372560754418, Lower Loss: 0.00946834497153759, Upper Q: 0.1471278816461563, Lower Q: 4.844084739685059
[2023-05-30 23:12:28,972][core][INFO] - Step: 2400, Upper Loss: 0.0028965133242309093, Lower Loss: 0.01710251346230507, Upper Q: 0.14601048827171326, Lower Q: 5.349172592163086
[2023-05-30 23:12:30,211][core][INFO] - Step: 2500, Upper Loss: 0.0019443073542788625, Lower Loss: 0.01184417586773634, Upper Q: 0.1358869969844818, Lower Q: 5.691604137420654
[2023-05-30 23:12:31,411][core][INFO] - Step: 2600, Upper Loss: 0.002277383115142584, Lower Loss: 0.03147429972887039, Upper Q: 0.13936901092529297, Lower Q: 5.901108264923096
