[2023-05-31 01:33:01,729][core][INFO] - Step: 200, Upper Loss: 0.003099677385762334, Lower Loss: 0.0005892107728868723, Upper Q: 0.5610755681991577, Lower Q: 0.11867498606443405
[2023-05-31 01:33:02,962][core][INFO] - Step: 300, Upper Loss: 0.008477343246340752, Lower Loss: 0.005825169384479523, Upper Q: 0.5827988386154175, Lower Q: 0.27389025688171387
[2023-05-31 01:33:04,109][core][INFO] - Step: 400, Upper Loss: 0.006457269191741943, Lower Loss: 0.005736569873988628, Upper Q: 0.5359925031661987, Lower Q: 0.44041672348976135
[2023-05-31 01:33:05,262][core][INFO] - Step: 500, Upper Loss: 0.005539276171475649, Lower Loss: 0.004402087070047855, Upper Q: 0.49390026926994324, Lower Q: 0.6069295406341553
[2023-05-31 01:33:06,708][core][INFO] - Step: 600, Upper Loss: 0.003386402502655983, Lower Loss: 0.008858972229063511, Upper Q: 0.4424262046813965, Lower Q: 0.7661340236663818
[2023-05-31 01:33:07,955][core][INFO] - Step: 700, Upper Loss: 0.0060455817729234695, Lower Loss: 0.0044600339606404305, Upper Q: 0.38882261514663696, Lower Q: 0.895828366279602
[2023-05-31 01:33:09,219][core][INFO] - Step: 800, Upper Loss: 0.0033340463414788246, Lower Loss: 0.007235516794025898, Upper Q: 0.3414943516254425, Lower Q: 1.0528655052185059
[2023-05-31 01:33:10,405][core][INFO] - Step: 900, Upper Loss: 0.002252972684800625, Lower Loss: 0.006770397536456585, Upper Q: 0.2869628369808197, Lower Q: 1.1874464750289917
[2023-05-31 01:33:11,681][core][INFO] - Step: 1000, Upper Loss: 0.002788185141980648, Lower Loss: 0.007365080993622541, Upper Q: 0.3062230944633484, Lower Q: 1.4964687824249268
[2023-05-31 01:33:12,969][core][INFO] - Step: 1100, Upper Loss: 0.0029986558947712183, Lower Loss: 0.01605355739593506, Upper Q: 0.2748425304889679, Lower Q: 1.8381202220916748
[2023-05-31 01:33:14,185][core][INFO] - Step: 1200, Upper Loss: 0.0023513392079621553, Lower Loss: 0.030014507472515106, Upper Q: 0.26028522849082947, Lower Q: 2.365182876586914
[2023-05-31 01:33:15,438][core][INFO] - Step: 1300, Upper Loss: 0.0018992058467119932, Lower Loss: 0.040399372577667236, Upper Q: 0.2273952066898346, Lower Q: 2.9158132076263428
[2023-05-31 01:33:16,694][core][INFO] - Step: 1400, Upper Loss: 0.0014556321548298001, Lower Loss: 0.029172353446483612, Upper Q: 0.21076741814613342, Lower Q: 3.7213759422302246
[2023-05-31 01:33:17,877][core][INFO] - Step: 1500, Upper Loss: 0.0024222685024142265, Lower Loss: 0.024671021848917007, Upper Q: 0.18105041980743408, Lower Q: 4.726062774658203
[2023-05-31 01:33:19,207][core][INFO] - Step: 1600, Upper Loss: 0.0014227002393454313, Lower Loss: 0.030861089006066322, Upper Q: 0.1621045172214508, Lower Q: 5.467848300933838
[2023-05-31 01:33:20,405][core][INFO] - Step: 1700, Upper Loss: 0.0010982919484376907, Lower Loss: 0.029274832457304, Upper Q: 0.14382976293563843, Lower Q: 6.412237167358398
[2023-05-31 01:33:21,664][core][INFO] - Step: 1800, Upper Loss: 0.0011196904815733433, Lower Loss: 0.024765733629465103, Upper Q: 0.12916642427444458, Lower Q: 6.811837673187256
[2023-05-31 01:33:22,893][core][INFO] - Step: 1900, Upper Loss: 0.0013189557939767838, Lower Loss: 0.026390239596366882, Upper Q: 0.10629095137119293, Lower Q: 7.395853042602539
