[2023-05-31 01:52:00,496][core][INFO] - Step: 200, Upper Loss: 19.518848419189453, Lower Loss: 0.0005416553467512131, Upper Q: 9.671250343322754, Lower Q: 0.12724384665489197
[2023-05-31 01:52:01,372][core][INFO] - Step: 300, Upper Loss: 24.178897857666016, Lower Loss: 0.007205377332866192, Upper Q: 16.798194885253906, Lower Q: 0.2818519175052643
[2023-05-31 01:52:02,163][core][INFO] - Step: 400, Upper Loss: 30.964130401611328, Lower Loss: 0.006241559982299805, Upper Q: 23.945701599121094, Lower Q: 0.5077539682388306
[2023-05-31 01:52:02,959][core][INFO] - Step: 500, Upper Loss: 37.46329879760742, Lower Loss: 0.006871233228594065, Upper Q: 29.49529457092285, Lower Q: 0.7320576310157776
[2023-05-31 01:52:03,935][core][INFO] - Step: 600, Upper Loss: 37.64276123046875, Lower Loss: 0.005601667799055576, Upper Q: 33.63718795776367, Lower Q: 1.0040979385375977
[2023-05-31 01:52:04,953][core][INFO] - Step: 700, Upper Loss: 54.8819465637207, Lower Loss: 0.009923482313752174, Upper Q: 35.938995361328125, Lower Q: 1.2505629062652588
[2023-05-31 01:52:05,926][core][INFO] - Step: 800, Upper Loss: 43.51856994628906, Lower Loss: 0.007911917753517628, Upper Q: 35.54147720336914, Lower Q: 1.4899146556854248
[2023-05-31 01:52:06,767][core][INFO] - Step: 900, Upper Loss: 58.75343322753906, Lower Loss: 0.007558178156614304, Upper Q: 38.11478805541992, Lower Q: 1.7438809871673584
[2023-05-31 01:52:07,707][core][INFO] - Step: 1000, Upper Loss: 71.2515869140625, Lower Loss: 0.009277583099901676, Upper Q: 39.030792236328125, Lower Q: 2.0142385959625244
[2023-05-31 01:52:08,840][core][INFO] - Step: 1100, Upper Loss: 67.0157470703125, Lower Loss: 0.014882825314998627, Upper Q: 41.139320373535156, Lower Q: 2.390413284301758
[2023-05-31 01:52:09,927][core][INFO] - Step: 1200, Upper Loss: 72.87893676757812, Lower Loss: 0.012592368759214878, Upper Q: 39.256465911865234, Lower Q: 2.7522032260894775
[2023-05-31 01:52:10,871][core][INFO] - Step: 1300, Upper Loss: 71.95967102050781, Lower Loss: 0.01302714180201292, Upper Q: 38.78163146972656, Lower Q: 3.087663173675537
[2023-05-31 01:52:11,828][core][INFO] - Step: 1400, Upper Loss: 69.39091491699219, Lower Loss: 0.020816974341869354, Upper Q: 39.23179244995117, Lower Q: 3.4656801223754883
[2023-05-31 01:52:12,807][core][INFO] - Step: 1500, Upper Loss: 88.35018157958984, Lower Loss: 0.019132506102323532, Upper Q: 39.55884552001953, Lower Q: 3.985712766647339
[2023-05-31 01:52:13,773][core][INFO] - Step: 1600, Upper Loss: 81.78752899169922, Lower Loss: 0.010778563097119331, Upper Q: 38.622318267822266, Lower Q: 4.325530052185059
[2023-05-31 01:52:14,800][core][INFO] - Step: 1700, Upper Loss: 73.30924987792969, Lower Loss: 0.012363120913505554, Upper Q: 38.306983947753906, Lower Q: 4.8306074142456055
[2023-05-31 01:52:15,788][core][INFO] - Step: 1800, Upper Loss: 82.634521484375, Lower Loss: 0.00881261844187975, Upper Q: 38.181739807128906, Lower Q: 5.008070468902588
[2023-05-31 01:52:16,753][core][INFO] - Step: 1900, Upper Loss: 58.03400802612305, Lower Loss: 0.009322946891188622, Upper Q: 37.84095764160156, Lower Q: 5.274068832397461
[2023-05-31 01:52:17,720][core][INFO] - Step: 2000, Upper Loss: 69.90629577636719, Lower Loss: 0.009646283462643623, Upper Q: 41.956668853759766, Lower Q: 5.500941276550293
[2023-05-31 01:52:18,721][core][INFO] - Step: 2100, Upper Loss: 73.90054321289062, Lower Loss: 0.019572459161281586, Upper Q: 41.10226058959961, Lower Q: 5.491219520568848
[2023-05-31 01:52:19,789][core][INFO] - Step: 2200, Upper Loss: 82.1754150390625, Lower Loss: 0.015867603942751884, Upper Q: 40.25209045410156, Lower Q: 5.979187488555908
[2023-05-31 01:52:20,779][core][INFO] - Step: 2300, Upper Loss: 71.7418212890625, Lower Loss: 0.02388790249824524, Upper Q: 40.126808166503906, Lower Q: 6.478960037231445
[2023-05-31 01:52:21,750][core][INFO] - Step: 2400, Upper Loss: 92.22674560546875, Lower Loss: 0.042206406593322754, Upper Q: 41.21985626220703, Lower Q: 7.197711944580078
[2023-05-31 01:52:22,738][core][INFO] - Step: 2500, Upper Loss: 60.74479675292969, Lower Loss: 0.07213053107261658, Upper Q: 41.14056396484375, Lower Q: 7.812530994415283
[2023-05-31 01:52:23,751][core][INFO] - Step: 2600, Upper Loss: 91.00856018066406, Lower Loss: 0.07631999254226685, Upper Q: 43.13196563720703, Lower Q: 8.723052024841309
[2023-05-31 01:52:24,842][core][INFO] - Step: 2700, Upper Loss: 86.12606811523438, Lower Loss: 0.0712195336818695, Upper Q: 44.41883087158203, Lower Q: 9.405389785766602
[2023-05-31 01:52:25,884][core][INFO] - Step: 2800, Upper Loss: 116.6932601928711, Lower Loss: 0.05968717113137245, Upper Q: 48.36236572265625, Lower Q: 10.463987350463867
[2023-05-31 01:52:26,894][core][INFO] - Step: 2900, Upper Loss: 78.36941528320312, Lower Loss: 0.031121235340833664, Upper Q: 46.82147979736328, Lower Q: 10.671642303466797
